Richmond,Kew Gardens,236,157,3
Kew Gardens,Gunnersbury,157,118,3
Gunnersbury,Turnham Green,118,294,3
Turnham Green,Stamford Brook,294,271,2
Stamford Brook,Ravenscourt Park,271,231,1
Ravenscourt Park,Hammersmith,231,120,3
Hammersmith,Barons Court,120,20,1
Barons Court,West Kensington,20,321,2
West Kensington,Earl's Court,321,81,2
Earl's Court,High Street Kensington,81,136,3
High Street Kensington,Notting Hill Gate,136,208,2
Notting Hill Gate,Bayswater,208,22,2
Bayswater,Paddington,22,214,3
Paddington,Edgware Road,214,90,2
