Battersea Power Station,Nine Elms,21,197,2
Nine Elms,Kennington,197,152,3
Kennington,Waterloo,152,308,2
Waterloo,Embankment,308,94,2
Embankment,Charing Cross,94,56,1
Charing Cross,Leicester Square,56,170,1
Leicester Square,Tottenham Court Road,170,288,1
Tottenham Court Road,Goodge Street,288,111,2
Goodge Street,Warren Street,111,306,1
Warren Street,Euston,306,96,1
Euston,Mornington Crescent,96,193,2
Mornington Crescent,Camden Town,193,46,3
Camden Town,Kentish Town,46,155,2
Kentish Town,Tufnell Park,155,293,1
Tufnell Park,Archway,293,11,2
Archway,Highgate,11,138,2
Highgate,East Finchley,138,83,3
East Finchley,Finchley Central,83,100,2
Finchley Central,West Finchley,100,316,2
West Finchley,Woodside Park,316,336,2
Woodside Park,Totteridge and Whetstone,336,290,3
Totteridge and Whetstone,High Barnet,290,135,3
