Morden,South Wimbledon,192,262,2
South Wimbledon,Colliers Wood,262,66,2
Colliers Wood,Tooting Broadway,66,287,2
Tooting Broadway,Tooting Bec,287,286,2
Tooting Bec,Balham,286,15,1
Balham,Clapham South,15,63,2
Clapham South,Clapham Common,63,61,2
Clapham Common,Clapham North,61,62,2
Clapham North,Stockwell,62,276,1
Stockwell,Oval,276,212,2
Oval,Kennington,212,152,3
Kennington,Elephant and Castle,152,91,2
Elephant and Castle,Borough,91,33,2
Borough,London Bridge,33,176,1
London Bridge,Bank ,176,16,2
Bank ,Moorgate,16,191,2
Moorgate,Old Street,191,210,2
Old Street,Angel,210,10,2
Angel,King's Cross St Pancras,10,161,2
King's Cross St Pancras,Euston,161,96,2
Euston,Camden Town,96,46,4
Camden Town,Kentish Town,46,155,2
Kentish Town,Tufnell Park,155,293,1
Tufnell Park,Archway,293,11,2
Archway,Highgate,11,138,2
Highgate,East Finchley,138,83,3
East Finchley,Finchley Central,83,100,2
Finchley Central,West Finchley,100,316,2
West Finchley,Woodside Park,316,336,2
Woodside Park,Totteridge and Whetstone,336,290,3
Totteridge and Whetstone,High Barnet,290,135,3
