Morden,South Wimbledon,192,262,2
South Wimbledon,Colliers Wood,262,66,2
Colliers Wood,Tooting Broadway,66,287,2
Tooting Broadway,Tooting Bec,287,286,2
Tooting Bec,Balham,286,15,1
Balham,Clapham South,15,63,2
Clapham South,Clapham Common,63,61,2
Clapham Common,Clapham North,61,62,2
Clapham North,Stockwell,62,276,1
Stockwell,Oval,276,212,2
Oval,Kennington,212,152,3
Kennington,Elephant and Castle,152,91,2
Elephant and Castle,Borough,91,33,2
Borough,London Bridge,33,176,1
London Bridge,Bank ,176,16,2
Bank ,Moorgate,16,191,2
Moorgate,Old Street,191,210,2
Old Street,Angel,210,10,2
Angel,King's Cross St Pancras,10,161,2
King's Cross St Pancras,Euston,161,96,2
Euston,Camden Town,96,46,4
Camden Town,Chalk Farm,46,54,2
Chalk Farm,Belsize Park,54,26,2
Belsize Park,Hampstead,26,121,2
Hampstead,Golders Green,121,109,5
Golders Green,Brent Cross,109,38,2
Brent Cross,Hendon Central,38,133,2
Hendon Central,Colindale,133,65,3
Colindale,Burnt Oak,65,44,2
Burnt Oak,Edgware,44,88,3
